User Input,Polarity,Extracted Concern,Category,Intensity,VADER_Compound
I'm feeling hopeful about my future now.,Positive,feeling hopeful,Positive Outlook,2.0,3
My recovery has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
The nap made me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This achievement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about the interview results.,Positive,feeling hopeful,Positive Outlook,2.0,3
The spring weather has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Fresh air has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
My graduation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about the new project.,Positive,feeling hopeful,Positive Outlook,2.0,3
These changes have me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
The walk made me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This reunion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my relationship.,Positive,feeling hopeful,Positive Outlook,2.0,3
The counseling has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Stretching has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
My new home has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about this opportunity.,Positive,feeling hopeful,Positive Outlook,2.0,4
The weekend has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
This massage has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
The baby news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about the treatment plan.,Positive,feeling hopeful,Positive Outlook,2.0,3
These friends have me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Meditation has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This success has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about tomorrow now.,Positive,feeling hopeful,Positive Outlook,2.0,3
The sunshine has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Hot shower has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
My birthday has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about this application.,Positive,feeling hopeful,Positive Outlook,2.0,3
The vacation has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Reading made me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This concert has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my career path.,Positive,feeling hopeful,Positive Outlook,2.0,3
The yoga has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Music has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This party has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about my studies.,Positive,feeling hopeful,Positive Outlook,2.0,3
The break has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Drawing has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
These results have me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my savings.,Positive,feeling hopeful,Positive Outlook,2.0,3
The holiday has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Gardening has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about the solution.,Positive,feeling hopeful,Positive Outlook,2.0,4
The progress has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Painting has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This friendship has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about my health now.,Positive,feeling hopeful,Positive Outlook,2.0,3
The support has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Writing has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This gift has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about this meeting.,Positive,feeling hopeful,Positive Outlook,2.0,3
The exercise has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Dancing has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This grade has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my goals.,Positive,feeling hopeful,Positive Outlook,2.0,3
The feedback has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Cooking has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This visit has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my skills.,Positive,feeling hopeful,Positive Outlook,2.0,3
The rest has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Running has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This award has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about my dreams.,Positive,feeling hopeful,Positive Outlook,2.0,4
The call has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Swimming has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This bonus has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about this change.,Positive,feeling hopeful,Positive Outlook,2.0,3
The talk has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Nature has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This success has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about next year.,Positive,feeling hopeful,Positive Outlook,2.0,3
The hug has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Art has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This win has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about this chance.,Positive,feeling hopeful,Positive Outlook,2.0,3
The smile has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Games have me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This raise has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my project.,Positive,feeling hopeful,Positive Outlook,2.0,3
The song has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Pets have me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This love has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about this day.,Positive,feeling hopeful,Positive Outlook,2.0,3
The sun has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Sleep has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This life has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about us now.,Positive,feeling hopeful,Positive Outlook,2.0,3
The help has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Food has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This joy has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about healing.,Positive,feeling hopeful,Positive Outlook,2.0,3
The care has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Rest has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This day has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about work now.,Positive,feeling hopeful,Positive Outlook,2.0,3
The peace has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
Time has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This hope has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about my path.,Positive,feeling hopeful,Positive Outlook,2.0,3
The calm has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Light has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
This bliss has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about growth now.,Positive,feeling hopeful,Positive Outlook,2.0,4
The joy has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
